Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Stage,Legendary
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
Ivysaur,Grass,Poison,405,60,62,63,80,80,60,2,FALSE
Venusaur,Grass,Poison,525,80,82,83,100,100,80,3,FALSE
Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE
Charmeleon,Fire,,405,58,64,58,80,65,80,2,FALSE
Charizard,Fire,Flying,534,78,84,78,109,85,100,3,FALSE
Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE
Wartortle,Water,,405,59,63,80,65,80,58,2,FALSE
Blastoise,Water,,530,79,83,100,85,105,78,3,FALSE
Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE
Metapod,Bug,,205,50,20,55,25,25,30,2,FALSE
Butterfree,Bug,Flying,395,60,45,50,90,80,70,3,FALSE
Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
Kakuna,Bug,Poison,205,45,25,50,25,25,35,2,FALSE
Beedrill,Bug,Poison,395,65,90,40,45,80,75,3,FALSE
Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,2,FALSE
Pidgeot,Normal,Flying,479,83,80,75,70,70,101,3,FALSE
Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE
Raticate,Normal,,413,55,81,60,50,70,97,2,FALSE
Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE
Fearow,Normal,Flying,442,65,90,65,61,61,100,2,FALSE
Ekans,Poison,,288,35,60,44,40,54,55,1,FALSE
Arbok,Poison,,438,60,85,69,65,79,80,2,FALSE
Pikachu,Electric,,320,35,55,40,50,50,90,1,FALSE
Raichu,Electric,,485,60,90,55,90,80,110,2,FALSE
Sandshrew,Ground,,300,50,75,85,20,30,40,1,FALSE
Sandslash,Ground,,450,75,100,110,45,55,65,2,FALSE
Nidoran‰,Poison,,275,55,47,52,40,40,41,1,FALSE
Nidorina,Poison,,365,70,62,67,55,55,56,2,FALSE
